Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2018-06-26 17:51,32.0N,12.1E,63,14.1,-10,-1,-9.9,2.90E+10,0.1
2018-06-21 1:16,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1.22E+12,2.8
2018-06-02 16:44,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,3.75E+11,0.98
2018-05-12 3:26,6.5S,173.7E,34,,,,,1.93E+11,0.54
2018-05-08 2:27,32N,60.7W,,,,,,7.30E+10,0.23
2018-05-03 7:23,46.9N,7.5W,39,11.5,1.3,-2.1,-11.2,3.80E+10,0.13
2018-04-30 13:17,45.5S,1.4W,34,13.1,8.7,-9.5,2.5,3.00E+10,0.1
2018-04-21 12:06,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,3.60E+10,0.12
2018-04-19 14:02,7.5N,3.6E,30,20.9,-9.1,-2.5,18.6,7.20E+10,0.23
2018-04-19 13:39,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,5.12E+11,1.3
2018-04-07 3:05,72.4N,78.7W,31.5,,,,,8.60E+10,0.27
2018-02-21 1:28,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,7.10E+10,0.22
2018-02-15 13:38,43.8S,1.1W,50.7,,,,,2.70E+10,0.095
2018-02-12 2:15,15.9S,58.9W,,,,,,3.90E+10,0.13
2018-02-08 22:21,42.9N,179.7E,43.5,,,,,2.59E+11,0.7
2018-02-01 12:21,19.4S,104.3E,37,16.5,8.1,-8.4,-11.7,1.90E+11,0.53
2018-01-22 22:06,14.0N,17.4W,,,,,,3.20E+10,0.11
2018-01-15 2:18,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,1.99E+11,0.56
2018-01-06 21:24,55.8N,52.5E,26,21,0.8,2.2,-20.9,2.80E+10,0.098
2018-01-06 18:24,39.5S,12.8E,26,,,,,3.60E+10,0.12
2017-12-31 9:36,63.5S,101.3W,64.5,,,,,4.40E+10,0.15
2017-12-29 12:47,14.6N,49.5W,38,,,,,1.10E+11,0.33
2017-12-28 17:45,,,,,,,,1.14E+11,0.34
2017-12-15 13:14,60.2N,170.0E,20,31.4,27.8,-4.7,-13.9,3.11E+12,6.4
2017-11-19 4:17,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,2.80E+10,0.098
2017-10-26 22:05,21.3S,177.6E,42.5,,,,,5.58E+11,1.4
2017-10-23 15:31,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,2.40E+10,0.086
